,score
1,0.6707765737047586
2,0.6892358003647526
3,0.5545784191639085
4,0.6934237690730173
5,0.6801617479710935
6,0.6336654337593254
7,0.6709685130869913
8,0.6752605514069588
9,0.6786142791455511
10,0.6604523798732939
11,0.6587394075123622
12,0.7372073816471726
13,0.66486684738184
14,0.6522571736083655
15,0.6752742421769082
16,0.7059858784139248
17,0.7127034753614261
18,0.6782889566787187
19,0.7245272169971916
20,0.6972294523788888
21,0.6669472694960462
22,0.6718869171116265
23,0.7391717093401128
24,0.6989531647535013
25,0.6927354298694365
26,0.6387374215510472
27,0.7041628077677629
28,0.6755032116109096
29,0.6922088869500738
30,0.6943648788560913
31,0.6776182925391308
32,0.7030529328209908
33,0.6888703681986236
34,0.7062130734144796
35,0.7357484875018163
36,0.7223953595330062
37,0.7097091928131678
38,0.7065272442003384
39,0.7262119569825578
40,0.7310069566006776
41,0.7156716510368161
42,0.7122118917460525
43,0.7282852606326577
44,0.7411509888090236
45,0.716354936583052
46,0.7790767831578578
47,0.7594682070205852
48,0.7377421873162223
49,0.732889449222856
50,0.0
